Parsing file ------------
      0:ftyp(size=36, start=0, end=36)
     36:meta(size=305, start=36, end=341)
     48:-hdlr(size=33, start=48, end=81)
     81:-pitm(size=14, start=81, end=95)
     95:-iloc(size=34, start=95, end=129)
    129:-iinf(size=47, start=129, end=176)
    145:---infe(size=31, start=145, end=176)
    176:-iprp(size=165, start=176, end=341)
    184:--ipco(size=136, start=184, end=320)
    192:---hvcC(size=108, start=192, end=300)
    300:---ispe(size=20, start=300, end=320)
    320:--ipma(size=21, start=320, end=341)
    341:moov(size=731, start=341, end=1072)
    349:-mvhd(size=108, start=349, end=457)
    457:-trak(size=615, start=457, end=1072)
    465:--tkhd(size=92, start=465, end=557)
    557:--mdia(size=515, start=557, end=1072)
    565:---mdhd(size=32, start=565, end=597)
    597:---hdlr(size=33, start=597, end=630)
    630:---minf(size=442, start=630, end=1072)
    638:----vmhd(size=20, start=638, end=658)
    658:----dinf(size=36, start=658, end=694)
    666:-----dref(size=28, start=666, end=694)
    682:------url (size=12, start=682, end=694)
    694:----stbl(size=378, start=694, end=1072)
    702:-----stsd(size=226, start=702, end=928)
    718:-------hvc1(size=210, start=718, end=928)
    804:---------hvcC(size=108, start=804, end=912)
    912:-----ccst(size=16, start=912, end=928)
